,TractCode,NAME_2015,Workers - Commute Method_2015,Work From Home_2015,Proportion Work From Home_2015,Workers - Commute Length_2015,Median Commute Length_2015,NAME_2017,Workers - Commute Method_2017,Work From Home_2017,Proportion Work From Home_2017,Workers - Commute Length_2017,Median Commute Length_2017,NAME_2019,Workers - Commute Method_2019,Work From Home_2019,Proportion Work From Home_2019,Workers - Commute Length_2019,Median Commute Length_2019
879,47051960800,"Census Tract 9608, Franklin County, Tennessee",1476,72,4.88,1404,35.14,"Census Tract 9608, Franklin County, Tennessee",1637,48,2.93,1589,32.7,"Census Tract 9608, Franklin County, Tennessee",1577,21,1.33,1556,36.17
880,47059090300,"Census Tract 903, Greene County, Tennessee",2183,48,2.2,2135,24.07,"Census Tract 903, Greene County, Tennessee",2276,51,2.24,2225,24.8,"Census Tract 903, Greene County, Tennessee",2327,66,2.84,2261,23.47
881,47059090700,"Census Tract 907, Greene County, Tennessee",1289,45,3.49,1244,24.16,"Census Tract 907, Greene County, Tennessee",1131,17,1.5,1114,23.72,"Census Tract 907, Greene County, Tennessee",1127,4,0.35,1123,24.21
882,47059090500,"Census Tract 905, Greene County, Tennessee",2799,0,0.0,2799,26.22,"Census Tract 905, Greene County, Tennessee",2926,39,1.33,2887,25.39,"Census Tract 905, Greene County, Tennessee",3005,102,3.39,2903,24.62
883,47059091100,"Census Tract 911, Greene County, Tennessee",1626,48,2.95,1578,36.28,"Census Tract 911, Greene County, Tennessee",1649,20,1.21,1629,38.37,"Census Tract 911, Greene County, Tennessee",1782,50,2.81,1732,36.44
884,47059090900,"Census Tract 909, Greene County, Tennessee",2127,125,5.88,2002,29.4,"Census Tract 909, Greene County, Tennessee",2284,155,6.79,2129,30.54,"Census Tract 909, Greene County, Tennessee",2372,51,2.15,2321,27.57
885,47059091000,"Census Tract 910, Greene County, Tennessee",2753,14,0.51,2739,30.41,"Census Tract 910, Greene County, Tennessee",2973,86,2.89,2887,30.4,"Census Tract 910, Greene County, Tennessee",3113,159,5.11,2954,30.87
886,47059090400,"Census Tract 904, Greene County, Tennessee",2069,161,7.78,1908,21.17,"Census Tract 904, Greene County, Tennessee",2045,205,10.02,1840,18.57,"Census Tract 904, Greene County, Tennessee",2103,38,1.81,2065,22.93
887,47059090800,"Census Tract 908, Greene County, Tennessee",1977,0,0.0,1977,24.57,"Census Tract 908, Greene County, Tennessee",1801,0,0.0,1801,26.08,"Census Tract 908, Greene County, Tennessee",1792,22,1.23,1770,26.5
888,47059090200,"Census Tract 902, Greene County, Tennessee",1076,34,3.16,1042,21.23,"Census Tract 902, Greene County, Tennessee",927,29,3.13,898,22.58,"Census Tract 902, Greene County, Tennessee",923,9,0.98,914,21.03
