,DSL,Fiber,Fixed Terr,Cable Other,Cable DOCSIS 3.1
2015,11.467681047197344,827.8794823877861,53.476438949656206,135.83685612241757,0.0
2017,23.143709041281205,918.8904164891112,17.72817764953599,243.864934251722,987.1181648799719
2019,24.010950970516493,973.0056622462707,9.91681895575742,374.867736154962,957.311111838284
