,TractCode,CountBlocks,Consumer Blocks Served Any Pro,Consumer Blocks Served Any Pro 25mbps,Prop Served By Any,Prop Served By Any 25mbps
457,47065001100,114,109,107.0,95.61,93.86
458,47065001200,76,71,71.0,93.42,93.42
459,47065001300,108,98,96.0,90.74,88.89
460,47065001400,107,102,100.0,95.33,93.46
461,47065001600,42,42,34.0,100.0,80.95
462,47065001800,149,148,145.0,99.33,97.32
463,47065001900,180,179,174.0,99.44,96.67
464,47065002000,169,124,119.0,73.37,70.41
465,47065002300,105,101,99.0,96.19,94.29
466,47065002400,175,175,174.0,100.0,99.43
467,47065002500,164,149,147.0,90.85,89.63
468,47065002600,148,137,134.0,92.57,90.54
469,47065002800,113,91,91.0,80.53,80.53
470,47065002900,51,49,49.0,96.08,96.08
471,47065003000,75,62,60.0,82.67,80.0
472,47065003100,121,119,117.0,98.35,96.69
473,47065003200,68,68,68.0,100.0,100.0
474,47065003300,135,123,123.0,91.11,91.11
475,47065003400,77,70,69.0,90.91,89.61
476,47065010101,85,85,84.0,100.0,98.82
477,47065010103,84,84,83.0,100.0,98.81
478,47065010104,119,119,95.0,100.0,79.83
479,47065010201,72,72,72.0,100.0,100.0
480,47065010202,119,119,117.0,100.0,98.32
481,47065010303,44,44,44.0,100.0,100.0
482,47065010304,88,87,87.0,98.86,98.86
483,47065010305,46,46,45.0,100.0,97.83
484,47065010306,74,74,72.0,100.0,97.3
485,47065010307,156,156,152.0,100.0,97.44
486,47065010411,67,67,65.0,100.0,97.01
487,47065010412,56,56,56.0,100.0,100.0
488,47065010413,48,48,48.0,100.0,100.0
489,47065010431,90,88,87.0,97.78,96.67
490,47065010432,81,80,79.0,98.77,97.53
491,47065010433,73,71,66.0,97.26,90.41
492,47065010434,51,51,50.0,100.0,98.04
493,47065010435,77,77,76.0,100.0,98.7
494,47065010501,98,98,96.0,100.0,97.96
495,47065010502,43,43,43.0,100.0,100.0
496,47065010600,55,55,54.0,100.0,98.18
497,47065010700,56,56,54.0,100.0,96.43
498,47065010800,73,73,72.0,100.0,98.63
499,47065010901,48,47,43.0,97.92,89.58
500,47065010902,38,38,38.0,100.0,100.0
501,47065010903,44,44,44.0,100.0,100.0
502,47065011001,75,75,58.0,100.0,77.33
503,47065011002,140,140,135.0,100.0,96.43
504,47065011100,134,134,132.0,100.0,98.51
505,47065011201,160,158,151.0,98.75,94.38
506,47065011203,60,60,55.0,100.0,91.67
507,47065011204,126,126,118.0,100.0,93.65
508,47065011311,115,115,111.0,100.0,96.52
509,47065011314,34,34,34.0,100.0,100.0
510,47065011321,47,45,45.0,95.74,95.74
511,47065011323,44,44,44.0,100.0,100.0
512,47065011324,48,48,48.0,100.0,100.0
513,47065011325,63,63,63.0,100.0,100.0
514,47065011326,38,38,38.0,100.0,100.0
515,47065011402,89,89,89.0,100.0,100.0
516,47065011411,65,63,63.0,96.92,96.92
517,47065011413,80,79,75.0,98.75,93.75
518,47065011442,37,29,29.0,78.38,78.38
519,47065011443,109,108,106.0,99.08,97.25
520,47065011444,57,57,55.0,100.0,96.49
521,47065011445,81,81,74.0,100.0,91.36
522,47065011446,52,51,50.0,98.08,96.15
523,47065011447,73,73,72.0,100.0,98.63
524,47065011600,130,111,110.0,85.38,84.62
525,47065011700,75,66,65.0,88.0,86.67
526,47065011800,85,84,84.0,98.82,98.82
527,47065011900,37,34,34.0,91.89,91.89
528,47065012000,87,87,86.0,100.0,98.85
529,47065012100,181,180,178.0,99.45,98.34
530,47065012200,97,97,95.0,100.0,97.94
531,47065012300,177,175,173.0,98.87,97.74
532,47065012400,119,113,111.0,94.96,93.28
533,47065980100,10,9,6.0,90.0,60.0
534,47065980200,14,13,13.0,92.86,92.86
535,47067960500,73,73,68.0,100.0,93.15
536,47067960600,186,186,153.0,100.0,82.26
537,47069950100,240,240,19.0,100.0,7.92
538,47069950200,128,128,94.0,100.0,73.44
539,47069950300,154,154,153.0,100.0,99.35
540,47069950400,259,259,150.0,100.0,57.92
541,47069950500,233,229,141.0,98.28,60.52
542,47069950600,208,208,75.0,100.0,36.06
543,47071920100,187,187,91.0,100.0,48.66
544,47071920200,352,352,222.0,100.0,63.07
545,47071920300,160,160,160.0,100.0,100.0
546,47071920400,275,275,274.0,100.0,99.64
547,47071920500,217,216,189.0,99.54,87.1
548,47071920600,237,236,89.0,99.58,37.55
549,47073050100,182,182,139.0,100.0,76.37
550,47073050200,110,110,95.0,100.0,86.36
551,47073050301,217,217,217.0,100.0,100.0
552,47073050302,168,168,155.0,100.0,92.26
553,47073050400,193,193,69.0,100.0,35.75
554,47073050501,79,79,71.0,100.0,89.87
555,47073050502,155,155,134.0,100.0,86.45
556,47073050503,113,113,113.0,100.0,100.0
557,47073050601,182,182,181.0,100.0,99.45
558,47073050602,115,115,115.0,100.0,100.0
559,47073050700,87,87,13.0,100.0,14.94
560,47073050800,176,176,122.0,100.0,69.32
561,47073050900,123,123,68.0,100.0,55.28
562,47075930100,153,152,20.0,99.35,13.07
563,47075930200,107,107,9.0,100.0,8.41
564,47075930301,134,134,113.0,100.0,84.33
565,47075930302,81,81,81.0,100.0,100.0
566,47075930400,219,219,191.0,100.0,87.21
567,47075930500,132,129,84.0,97.73,63.64
568,47077975000,205,204,139.0,99.51,67.8
569,47077975100,193,193,98.0,100.0,50.78
570,47077975200,234,233,118.0,99.57,50.43
571,47077975300,296,296,288.0,100.0,97.3
572,47077975400,263,263,253.0,100.0,96.2
573,47077975500,226,224,64.0,99.12,28.32
574,47079969000,409,409,387.0,100.0,94.62
575,47079969100,271,271,270.0,100.0,99.63
576,47079969200,183,183,169.0,100.0,92.35
577,47079969300,219,219,214.0,100.0,97.72
578,47079969400,120,120,120.0,100.0,100.0
579,47079969500,218,218,218.0,100.0,100.0
580,47079969600,432,432,394.0,100.0,91.2
581,47079969700,66,66,14.0,100.0,21.21
582,47079969800,250,250,160.0,100.0,64.0
583,47081950100,202,202,117.0,100.0,57.92
584,47081950200,204,204,157.0,100.0,76.96
585,47081950301,124,124,83.0,100.0,66.94
586,47081950302,250,250,191.0,100.0,76.4
587,47081950400,140,140,61.0,100.0,43.57
588,47081950500,99,99,6.0,100.0,6.06
