,Minimally Served by Definition,TractCode
9,False,47001020201
219,False,47001020202
662,False,47001020500
938,False,47001020901
1541,False,47001020902
2272,False,47003950401
2954,False,47003950500
3814,False,47007953100
4825,False,47007953200
5168,False,47009010200
6188,False,47009010302
7365,False,47009011200
8757,False,47009011602
9577,True,47009980100
9703,False,47011010100
10203,False,47011010600
10635,False,47015960100
11216,False,47017962000
11961,False,47019070100
12191,False,47019070200
12499,False,47019070300
12872,False,47019070400
12990,False,47019070500
13215,False,47019070600
13322,False,47019070700
13438,False,47019070800
13657,False,47019070900
13856,False,47019071000
14073,False,47019071100
14231,False,47019071200
14596,False,47019071300
15034,False,47019071400
15276,False,47019071500
15391,False,47019071600
15569,False,47019071700
15903,False,47025970700
16652,False,47025970800
17002,False,47025970900
17857,False,47029920200
19033,False,47031970200
19554,False,47031970900
20347,False,47037010201
20546,False,47037010302
20730,False,47037010303
20914,False,47037010401
21127,False,47037010402
21383,False,47037010501
21920,False,47037010601
22070,False,47037010602
22177,False,47037010701
22394,False,47037010802
22597,False,47037011001
22807,False,47037011100
23062,False,47037011200
23378,False,47037011300
23730,False,47037011400
24044,False,47037011700
24750,False,47037011800
25110,False,47037012701
25292,False,47037012702
25562,False,47037012801
25842,False,47037012802
26048,False,47037013000
26110,False,47037013300
26752,False,47037013400
27811,False,47037013500
28172,False,47037013700
28862,False,47037014200
29120,False,47037014400
29543,False,47037015100
29788,False,47037015200
29944,False,47037015300
30217,False,47037015401
30478,False,47037015404
30588,False,47037015501
30710,False,47037015502
30947,False,47037015609
31012,False,47037015612
31201,False,47037015613
31364,False,47037015614
31423,False,47037015615
31520,False,47037015620
31670,False,47037015623
31808,False,47037015624
31869,False,47037015625
31966,False,47037015626
32075,False,47037015628
32127,False,47037015629
32232,False,47037015630
32337,False,47037015631
32501,False,47037015700
32613,False,47037015802
32791,False,47037015803
32871,False,47037015900
33073,False,47037016000
33351,False,47037016100
33691,False,47037016200
34063,False,47037016300
34371,False,47037016400
34632,False,47037016500
34830,False,47037016600
35042,False,47037016700
35406,False,47037016800
35784,False,47037016900
36344,False,47037017000
36750,False,47037017100
36953,False,47037017200
37264,False,47037017300
37679,False,47037017401
37802,False,47037017500
38168,False,47037017702
38355,False,47037017800
38666,False,47037017901
38921,False,47037017902
39099,False,47037018000
39391,False,47037018101
39579,False,47037018102
39800,False,47037018201
40038,False,47037018301
40273,False,47037018302
40402,False,47037018401
40532,False,47037018404
40636,False,47037018405
40789,False,47037018409
41006,False,47037018500
41412,False,47037018700
41677,False,47037018801
42002,False,47037018803
42095,False,47037018804
42211,False,47037018901
42332,False,47037019006
42465,False,47037019108
42514,False,47037019110
42632,False,47037019112
42729,False,47037019114
43060,False,47037019115
43157,False,47037019116
43235,False,47037019117
43313,False,47037019200
43883,False,47037019300
44158,False,47037019400
45104,False,47037019500
46606,False,47037019600
46894,True,47037980100
47013,True,47037980200
47080,False,47041920200
47845,False,47045964000
49438,False,47045964300
50651,False,47045964400
51987,False,47047060403
52281,False,47047060404
52578,False,47047060600
52880,False,47047060701
53032,False,47047060702
53366,False,47059090100
53962,False,47059090200
54184,False,47059090300
54598,False,47059090400
54940,False,47059090500
55406,False,47059090600
55672,False,47059090700
55931,False,47059090800
56298,False,47059090900
56677,False,47059091000
