,TractCode,Less_HS_Proportion_2015,HS_Proportion_2015,Some_College_Proportion_2015,Bachelors_Proportion_2015,Less_HS_Proportion_2017,HS_Proportion_2017,Some_College_Proportion_2017,Bachelors_Proportion_2017,Less_HS_Proportion_2019,HS_Proportion_2019,Some_College_Proportion_2019,Bachelors_Proportion_2019
755,47037019105,23.84,21.38,24.62,30.16,25.22,25.69,22.01,27.08,25.59,21.36,22.52,30.53
756,47037019106,5.32,14.34,24.09,56.25,2.03,14.41,24.32,59.25,0.88,16.17,23.88,59.07
757,47037015502,12.05,32.61,27.84,27.5,11.05,33.32,25.04,30.59,9.9,25.13,28.72,36.25
758,47037017100,3.02,14.79,15.04,67.15,2.0,11.39,16.44,70.17,1.71,5.57,10.03,82.68
759,47037016900,3.53,4.29,15.26,76.92,3.53,7.51,15.93,73.02,2.28,7.25,14.66,75.81
760,47189030901,4.0,29.23,34.67,32.1,2.47,23.2,35.32,39.01,2.44,27.12,28.81,41.63
761,47189030304,4.82,27.73,39.56,27.89,3.53,22.82,40.91,32.74,4.64,27.19,37.42,30.75
762,47189030500,18.43,46.27,18.43,16.86,13.88,44.48,27.44,14.2,11.37,42.41,31.27,14.95
763,47189030700,31.17,47.73,13.37,7.73,23.89,41.12,26.68,8.31,18.21,38.82,28.59,14.39
764,47189031000,13.42,42.04,31.75,12.79,12.68,40.24,35.74,11.34,12.43,39.25,30.29,18.03
765,47189030202,6.6,28.36,25.8,39.24,7.52,22.05,25.51,44.93,7.12,25.03,29.48,38.37
766,47187050908,1.1,12.49,18.45,67.97,1.99,5.76,21.14,71.12,3.78,6.24,21.44,68.53
767,47139950400,19.63,42.64,28.38,9.35,20.94,38.29,28.21,12.56,19.1,38.82,28.24,13.84
768,47139950100,27.08,38.61,23.24,11.08,19.1,46.16,19.57,15.17,15.5,45.78,32.39,6.33
769,47139950300,23.26,47.77,20.43,8.55,18.59,40.87,30.59,9.95,15.83,41.47,33.34,9.36
770,47041920102,24.58,45.97,16.95,12.5,23.32,48.9,17.36,10.42,22.48,44.75,20.21,12.56
771,47041920101,18.22,38.11,24.64,19.03,12.82,41.97,27.51,17.7,10.73,34.93,28.89,25.45
772,47187051002,5.46,21.38,26.04,47.12,5.14,17.8,25.01,52.05,3.43,14.95,21.82,59.81
773,47187050909,3.86,17.26,26.71,52.17,3.88,16.79,20.75,58.58,3.36,14.96,19.45,62.23
