,TractCode,Substantially Served,Substantially Served 25mbps
277,47037016300,2,2
278,47037016400,2,2
279,47037016500,2,1
280,47037016600,2,2
281,47037016700,2,2
282,47037016800,2,2
283,47037016900,2,2
284,47037017000,2,2
285,47037017100,2,2
286,47037017200,2,2
287,47037017300,2,2
288,47037017401,2,2
289,47037017402,2,2
290,47037017500,2,2
291,47037017701,2,2
292,47037017702,2,2
293,47037017800,2,2
294,47037017901,2,2
295,47037017902,2,2
296,47037018000,2,2
297,47037018101,3,3
298,47037018102,2,2
299,47037018201,2,2
300,47037018202,2,2
301,47037018203,2,2
302,47037018301,2,2
303,47037018302,2,2
304,47037018401,2,2
305,47037018404,2,2
306,47037018405,2,2
307,47037018407,2,2
308,47037018408,2,2
309,47037018409,2,2
310,47037018410,2,2
311,47037018500,2,2
312,47037018601,2,2
313,47037018602,2,2
314,47037018700,2,2
315,47037018801,2,2
316,47037018803,2,2
317,47037018804,2,2
318,47037018901,2,2
319,47037018902,2,2
320,47037018904,2,2
321,47037018905,2,2
322,47037019003,2,2
323,47037019004,2,2
324,47037019005,2,2
325,47037019006,2,2
326,47037019105,2,2
327,47037019106,2,2
328,47037019108,2,2
329,47037019109,2,2
330,47037019110,2,2
331,47037019111,2,2
332,47037019112,2,2
333,47037019114,3,3
334,47037019115,3,2
335,47037019116,2,2
336,47037019117,2,2
337,47037019118,2,2
338,47037019200,2,2
339,47037019300,2,1
340,47037019400,2,2
341,47037019500,2,2
342,47037019600,2,1
343,47037980100,1,0
344,47037980200,1,0
345,47039955001,1,1
346,47039955002,2,2
347,47039955101,2,2
348,47039955102,1,1
349,47041920101,1,1
350,47041920102,1,1
351,47041920200,2,2
352,47041920300,2,2
353,47043060100,1,0
354,47043060200,2,2
355,47043060300,2,1
356,47043060401,2,2
357,47043060402,2,2
358,47043060501,2,2
359,47043060502,2,2
360,47043060601,2,2
361,47043060602,2,2
362,47043060700,2,2
363,47045964000,3,1
364,47045964200,3,2
365,47045964300,3,2
366,47045964400,3,1
367,47045964500,3,1
368,47045964600,2,0
369,47045964800,2,0
370,47045964900,3,1
371,47047060300,2,2
372,47047060401,2,2
373,47047060402,2,2
374,47047060403,2,2
375,47047060404,2,2
376,47047060501,2,2
377,47047060502,2,2
378,47047060600,2,1
379,47047060701,2,1
380,47047060702,2,2
381,47047060800,2,0
382,47049965000,2,1
383,47049965100,1,1
384,47049965200,2,1
385,47049965300,2,1
386,47051960100,1,1
387,47051960201,3,3
388,47051960202,2,2
389,47051960300,1,1
390,47051960400,3,3
391,47051960500,3,2
392,47051960600,3,2
393,47051960700,2,1
394,47051960800,2,1
395,47053966100,3,2
396,47053966200,4,2
397,47053966300,2,0
398,47053966400,2,1
399,47053966500,2,1
400,47053966600,2,1
401,47053966700,2,0
402,47053966800,1,1
403,47053966900,2,2
404,47053967000,2,1
405,47053967100,3,3
406,47053967300,2,1
407,47053967400,2,1
408,47053980100,1,1
409,47055920100,2,1
410,47055920200,3,2
411,47055920300,3,2
412,47055920400,3,2
413,47055920500,4,4
414,47055920600,2,0
415,47055920700,1,1
416,47055920800,3,1
417,47057500100,2,1
418,47057500200,3,2
419,47057500300,2,2
420,47057500401,2,1
421,47057500402,2,1
422,47059090100,2,1
423,47059090200,2,2
424,47059090300,2,2
425,47059090400,2,2
426,47059090500,2,1
427,47059090600,2,1
428,47059090700,2,1
429,47059090800,2,1
430,47059090900,2,1
431,47059091000,2,1
432,47059091100,2,2
433,47059091200,2,1
434,47059091300,2,1
435,47059091400,2,1
436,47059091500,2,1
437,47061955000,2,2
438,47061955100,2,2
439,47061955200,2,1
440,47061955300,2,2
441,47063100100,3,2
442,47063100200,3,3
443,47063100300,3,3
444,47063100400,3,3
445,47063100500,3,3
446,47063100600,3,3
447,47063100700,3,2
448,47063100800,3,2
449,47063100900,3,3
450,47063101000,3,2
451,47063101100,3,2
452,47063101200,3,3
453,47065000400,3,2
454,47065000600,3,3
455,47065000700,3,3
456,47065000800,3,2
457,47065001100,3,2
458,47065001200,3,2
459,47065001300,3,2
460,47065001400,3,2
461,47065001600,3,2
462,47065001800,3,2
463,47065001900,3,2
464,47065002000,3,2
465,47065002300,3,2
466,47065002400,3,2
467,47065002500,3,2
468,47065002600,3,2
469,47065002800,3,3
470,47065002900,3,3
471,47065003000,3,2
472,47065003100,3,2
473,47065003200,3,3
474,47065003300,3,3
475,47065003400,3,3
476,47065010101,2,2
477,47065010103,3,3
478,47065010104,2,2
479,47065010201,3,3
480,47065010202,3,3
481,47065010303,3,3
482,47065010304,3,3
483,47065010305,3,3
484,47065010306,3,3
485,47065010307,3,3
486,47065010411,3,3
487,47065010412,3,3
488,47065010413,3,3
489,47065010431,3,3
490,47065010432,3,3
491,47065010433,3,3
492,47065010434,3,3
493,47065010435,3,3
494,47065010501,3,3
495,47065010502,3,3
496,47065010600,3,3
497,47065010700,3,3
498,47065010800,3,2
499,47065010901,3,2
500,47065010902,3,2
501,47065010903,3,3
502,47065011001,4,3
503,47065011002,3,3
504,47065011100,3,3
505,47065011201,3,2
506,47065011203,3,2
507,47065011204,3,2
508,47065011311,4,3
509,47065011314,3,3
510,47065011321,3,3
511,47065011323,3,3
512,47065011324,3,3
513,47065011325,3,3
514,47065011326,3,3
515,47065011402,3,3
516,47065011411,3,3
517,47065011413,3,3
518,47065011442,3,3
519,47065011443,3,3
520,47065011444,3,3
521,47065011445,3,2
522,47065011446,3,3
523,47065011447,4,3
524,47065011600,3,3
525,47065011700,3,3
526,47065011800,3,3
527,47065011900,3,3
528,47065012000,3,3
529,47065012100,3,3
530,47065012200,3,2
531,47065012300,3,2
532,47065012400,3,2
533,47065980100,2,1
534,47065980200,2,1
535,47067960500,1,1
536,47067960600,2,1
537,47069950100,1,0
538,47069950200,2,2
539,47069950300,2,1
540,47069950400,2,1
541,47069950500,2,1
542,47069950600,2,1
543,47071920100,2,1
544,47071920200,2,1
545,47071920300,2,1
546,47071920400,2,1
547,47071920500,2,1
548,47071920600,1,0
549,47073050100,2,1
550,47073050200,2,1
551,47073050301,2,1
552,47073050302,2,1
553,47073050400,1,0
554,47073050501,2,1
555,47073050502,3,1
556,47073050503,2,2
557,47073050601,2,1
558,47073050602,2,1
559,47073050700,2,0
560,47073050800,2,1
561,47073050900,2,1
562,47075930100,2,0
563,47075930200,2,0
564,47075930301,2,1
565,47075930302,2,1
566,47075930400,2,1
567,47075930500,2,2
568,47077975000,2,1
569,47077975100,2,1
570,47077975200,2,1
571,47077975300,2,1
572,47077975400,2,1
573,47077975500,2,0
574,47079969000,2,2
575,47079969100,1,1
576,47079969200,1,1
577,47079969300,2,1
578,47079969400,2,2
579,47079969500,2,2
580,47079969600,2,1
581,47079969700,1,0
582,47079969800,3,2
583,47081950100,1,1
584,47081950200,2,2
585,47081950301,2,1
586,47081950302,2,1
587,47081950400,2,1
588,47081950500,1,0
589,47083120100,1,1
590,47083120200,1,1
591,47083120300,1,1
592,47085130100,2,1
593,47085130200,2,0
594,47085130300,2,1
595,47085130400,1,0
596,47085130500,2,2
597,47087960100,2,1
598,47087960200,2,1
599,47087960300,2,1
600,47087960400,2,1
601,47089070100,3,1
602,47089070200,3,2
603,47089070300,2,2
604,47089070400,2,2
605,47089070500,2,2
606,47089070600,2,2
607,47089070700,2,1
608,47089070800,2,1
609,47089070900,3,1
610,47091956000,1,1
611,47091956100,2,1
612,47091956200,2,1
613,47091956300,2,1
614,47091956400,2,1
615,47093000100,3,1
616,47093000800,3,2
617,47093000901,2,0
618,47093000902,2,0
619,47093001400,2,1
620,47093001500,3,3
621,47093001600,3,3
622,47093001700,3,2
623,47093001800,3,2
624,47093001900,3,2
625,47093002000,3,2
626,47093002100,3,2
627,47093002200,3,2
628,47093002300,3,2
629,47093002400,3,2
630,47093002600,3,2
631,47093002700,3,2
632,47093002800,3,2
633,47093002900,3,3
634,47093003000,4,3
635,47093003100,3,2
636,47093003200,3,1
637,47093003300,3,1
638,47093003400,3,2
639,47093003500,3,2
640,47093003700,4,3
641,47093003801,4,3
642,47093003802,4,3
643,47093003901,4,3
644,47093003902,4,3
645,47093004000,3,3
646,47093004100,3,3
647,47093004200,3,3
648,47093004300,4,3
649,47093004401,4,3
650,47093004403,4,3
651,47093004404,4,3
652,47093004500,4,3
653,47093004606,4,3
654,47093004607,4,3
655,47093004608,4,3
656,47093004609,4,3
657,47093004610,4,3
658,47093004611,5,4
659,47093004612,4,3
660,47093004613,4,3
661,47093004614,3,3
662,47093004615,4,3
663,47093004700,4,3
664,47093004800,3,3
665,47093004900,4,3
666,47093005000,3,3
667,47093005100,2,2
668,47093005201,3,2
669,47093005202,3,2
670,47093005301,2,2
671,47093005302,3,1
672,47093005401,3,2
673,47093005402,3,2
674,47093005501,4,3
675,47093005502,4,3
676,47093005602,4,3
677,47093005603,4,3
678,47093005604,3,2
679,47093005701,3,2
680,47093005704,4,3
681,47093005706,4,3
682,47093005707,4,3
683,47093005708,3,2
684,47093005709,3,2
685,47093005710,3,2
686,47093005711,4,3
687,47093005712,4,3
688,47093005803,2,2
689,47093005807,4,3
690,47093005808,3,2
691,47093005809,3,2
692,47093005810,3,2
693,47093005811,3,2
694,47093005812,3,2
695,47093005813,3,2
696,47093005903,4,3
697,47093005904,3,2
698,47093005905,4,3
699,47093005906,3,2
700,47093005907,3,2
701,47093005908,3,2
702,47093006001,3,2
703,47093006002,3,3
704,47093006003,3,2
705,47093006102,3,2
706,47093006103,2,2
707,47093006104,2,2
708,47093006202,3,2
709,47093006203,3,3
710,47093006205,2,2
711,47093006206,3,2
712,47093006207,3,3
713,47093006208,3,3
714,47093006301,3,2
715,47093006302,2,1
716,47093006401,3,2
717,47093006402,2,2
718,47093006403,3,2
719,47093006501,2,2
720,47093006502,2,2
721,47093006600,3,1
722,47093006700,3,1
723,47093006800,3,1
724,47093006900,3,2
725,47093007000,3,1
726,47093007100,3,2
727,47095960100,2,1
728,47095960200,3,2
729,47097050100,2,0
730,47097050200,3,1
731,47097050300,2,1
732,47097050400,2,2
733,47097050503,3,2
734,47097050504,3,2
735,47097050505,3,1
736,47097050506,3,1
737,47097050600,3,1
738,47099960100,3,2
739,47099960200,2,1
740,47099960300,2,1
741,47099960401,4,4
742,47099960402,4,4
743,47099960501,3,2
744,47099960502,4,3
745,47099960600,2,1
746,47099960700,3,2
747,47099960800,3,2
748,47099960900,2,1
749,47101970100,1,1
750,47101970200,3,2
751,47103975000,1,1
752,47103975100,2,2
753,47103975200,2,1
754,47103975300,3,2
755,47103975400,3,2
756,47103975500,3,2
757,47103975601,3,3
758,47103975602,3,2
759,47103975700,3,2
760,47105060100,3,2
761,47105060201,3,2
762,47105060202,2,2
763,47105060301,2,2
764,47105060302,3,2
765,47105060400,4,2
766,47105060501,3,2
767,47105060502,2,2
768,47105060600,2,1
769,47105060700,2,1
770,47107970101,2,0
771,47107970102,2,1
772,47107970200,2,2
773,47107970300,2,2
774,47107970401,3,2
775,47107970402,3,2
776,47107970500,4,2
777,47107970600,2,1
778,47107970700,3,1
779,47107970800,2,0
780,47109930100,2,1
781,47109930200,2,1
782,47109930300,2,1
783,47109930400,2,1
784,47109930500,2,1
785,47109930600,1,0
786,47109930700,3,1
787,47111970100,2,1
788,47111970200,2,1
789,47111970300,3,2
790,47111970400,2,1
791,47113000100,3,2
792,47113000200,3,2
793,47113000300,3,2
794,47113000400,3,2
795,47113000500,3,2
796,47113000600,3,2
797,47113000700,3,2
798,47113000800,3,2
799,47113000900,3,2
800,47113001000,3,2
801,47113001100,3,2
802,47113001300,3,2
803,47113001401,3,2
804,47113001402,3,2
805,47113001501,3,2
806,47113001502,2,1
807,47113001603,3,3
808,47113001604,3,3
809,47113001605,2,1
810,47113001606,3,3
811,47113001607,3,3
812,47113001608,3,2
813,47113001609,2,1
814,47113001610,3,3
815,47113001700,1,0
816,47113001800,1,0
817,47113001900,2,1
818,47115050101,1,1
819,47115050102,3,2
820,47115050201,2,1
821,47115050202,3,2
822,47115050301,3,2
823,47115050302,3,1
824,47117955000,1,1
825,47117955100,4,2
826,47117955200,3,2
827,47117955300,3,3
828,47117955400,3,3
829,47117955500,3,1
830,47119010100,2,1
831,47119010201,2,2
832,47119010202,2,2
833,47119010301,2,2
834,47119010302,2,2
835,47119010400,3,3
836,47119010500,3,3
837,47119010600,3,3
838,47119010700,3,3
839,47119010801,3,3
840,47119010802,3,3
841,47119010900,2,1
842,47119011001,3,2
843,47119011002,3,3
844,47119011101,3,3
845,47119011102,2,2
846,47119011200,2,1
847,47121960100,3,1
848,47121960200,3,1
849,47121960300,2,1
850,47123925000,3,1
851,47123925100,2,2
852,47123925200,2,2
853,47123925300,2,1
854,47123925400,2,1
855,47123925501,1,1
856,47123925502,1,1
857,47125100100,2,1
858,47125100200,2,2
859,47125100300,2,2
860,47125100400,2,2
861,47125100500,2,2
862,47125100601,2,2
863,47125100602,2,2
864,47125100700,2,2
865,47125100800,2,2
866,47125100900,2,2
867,47125101001,2,2
868,47125101002,2,2
869,47125101101,2,2
870,47125101102,2,2
871,47125101103,2,2
872,47125101201,2,2
873,47125101202,2,2
874,47125101303,2,2
875,47125101304,2,2
876,47125101305,2,2
877,47125101306,2,2
878,47125101307,2,2
879,47125101400,1,1
880,47125101500,2,2
881,47125101600,2,2
882,47125101700,2,1
883,47125101802,2,2
884,47125101803,2,2
885,47125101804,2,2
886,47125101902,2,2
887,47125101903,2,2
888,47125101904,2,2
889,47125102001,2,2
890,47125102002,2,2
891,47125102003,2,2
892,47125102004,2,2
893,47125102005,2,2
894,47125102006,2,2
895,47125980100,1,1
896,47127930100,2,1
897,47127930200,2,1
898,47129110100,2,1
899,47129110200,2,1
900,47129110300,1,1
901,47129110400,3,1
902,47129110500,2,1
903,47131965000,3,1
904,47131965100,4,1
905,47131965200,3,0
906,47131965300,4,1
907,47131965400,3,1
908,47131965500,3,1
909,47131965600,3,1
910,47131965700,3,1
911,47131965800,1,0
912,47131965900,4,2
913,47133950100,2,1
914,47133950200,2,1
915,47133950301,1,1
916,47133950302,2,1
917,47133950400,2,1
918,47133950500,2,1
919,47133950600,2,1
920,47135930100,1,1
921,47135930200,1,1
922,47137925100,2,1
923,47139950100,2,1
924,47139950201,3,1
925,47139950202,3,1
926,47139950300,2,1
927,47139950400,2,1
928,47141000100,3,2
929,47141000200,3,2
930,47141000301,3,2
931,47141000302,2,2
932,47141000303,2,2
933,47141000400,2,2
934,47141000500,2,2
935,47141000600,2,2
936,47141000700,2,2
937,47141000800,2,2
938,47141000900,3,1
939,47141001000,2,1
940,47141001100,3,2
941,47141001200,3,1
942,47141001300,2,1
943,47143975000,3,1
944,47143975100,3,1
945,47143975200,2,1
946,47143975300,2,1
947,47143975401,2,1
948,47143975402,2,2
949,47145030100,3,2
950,47145030201,2,1
951,47145030202,3,2
952,47145030300,3,2
953,47145030400,3,1
954,47145030500,3,1
955,47145030600,3,2
956,47145030700,3,1
957,47145030800,3,1
958,47145030900,3,2
959,47145980100,1,0
960,47147080101,2,1
961,47147080103,2,2
962,47147080104,2,2
963,47147080200,1,0
964,47147080301,2,2
965,47147080302,2,1
966,47147080401,2,2
967,47147080402,2,2
968,47147080500,2,2
969,47147080603,3,3
970,47147080604,2,2
971,47147080605,2,2
972,47147080606,2,2
973,47147080700,2,2
974,47149040101,2,2
975,47149040102,2,2
976,47149040103,2,2
977,47149040104,3,3
978,47149040105,2,2
979,47149040200,3,3
980,47149040302,2,2
981,47149040303,2,2
982,47149040304,3,3
983,47149040305,3,3
984,47149040306,3,3
985,47149040307,3,3
986,47149040308,2,2
987,47149040403,2,2
988,47149040501,2,2
989,47149040502,3,3
990,47149040600,2,2
991,47149040701,3,3
992,47149040702,3,3
993,47149040805,4,4
994,47149040806,2,2
995,47149040807,2,2
996,47149040808,2,2
997,47149040809,2,2
998,47149040810,2,0
999,47149040901,2,2
1000,47149040902,2,2
1001,47149040903,2,2
1002,47149040904,3,3
1003,47149040905,3,3
1004,47149041000,2,2
1005,47149041101,2,2
1006,47149041102,2,2
1007,47149041201,3,3
1008,47149041202,3,3
1009,47149041301,2,2
1010,47149041302,2,2
1011,47149041401,2,2
1012,47149041402,2,2
1013,47149041403,2,2
1014,47149041500,2,2
1015,47149041600,2,2
1016,47149041700,2,2
1017,47149041800,3,3
1018,47149041900,2,2
1019,47149042000,3,3
1020,47149042100,2,2
1021,47149042200,3,3
1022,47149042300,2,2
1023,47151975000,3,1
1024,47151975100,2,1
1025,47151975200,2,1
1026,47151975300,2,1
1027,47151975400,2,1
1028,47153060101,1,1
1029,47153060102,1,0
1030,47153060200,1,1
1031,47155080101,2,2
1032,47155080102,2,2
1033,47155080201,3,3
1034,47155080202,3,3
1035,47155080300,3,3
1036,47155080400,4,2
1037,47155080500,3,3
1038,47155080601,3,3
1039,47155080602,3,3
1040,47155080700,3,1
1041,47155080801,4,2
1042,47155080802,3,3
1043,47155080901,3,1
1044,47155080902,4,2
1045,47155081000,2,1
1046,47155081101,2,2
1047,47155081102,1,1
1048,47155980100,2,1
1049,47157000100,2,2
1050,47157000200,2,1
1051,47157000300,2,1
1052,47157000400,2,1
1053,47157000600,2,1
1054,47157000700,2,2
1055,47157000800,2,2
1056,47157000900,2,2
1057,47157001100,2,1
1058,47157001200,2,2
1059,47157001300,2,1
1060,47157001400,2,1
1061,47157001500,2,2
1062,47157001600,2,2
1063,47157001700,2,2
1064,47157001900,2,2
1065,47157002000,2,1
1066,47157002100,2,2
1067,47157002400,2,1
1068,47157002500,2,2
1069,47157002600,2,2
1070,47157002700,2,2
1071,47157002800,2,1
1072,47157002900,2,2
1073,47157003000,2,2
1074,47157003100,2,2
1075,47157003200,2,2
1076,47157003300,2,2
1077,47157003400,2,1
1078,47157003500,2,2
1079,47157003600,2,1
1080,47157003700,2,1
1081,47157003800,1,0
1082,47157003900,2,1
1083,47157004200,2,2
1084,47157004300,2,2
1085,47157004500,2,1
1086,47157004600,2,1
1087,47157005000,2,1
1088,47157005300,2,2
1089,47157005500,2,1
1090,47157005600,2,1
1091,47157005700,2,2
1092,47157005800,2,1
1093,47157005900,2,1
1094,47157006000,2,1
1095,47157006200,2,2
1096,47157006300,2,2
1097,47157006400,2,2
1098,47157006500,2,2
1099,47157006600,2,2
1100,47157006700,2,2
1101,47157006800,2,1
1102,47157006900,2,2
1103,47157007000,2,2
1104,47157007100,2,2
1105,47157007200,2,2
1106,47157007300,2,2
1107,47157007400,2,2
1108,47157007500,2,1
1109,47157007810,2,1
1110,47157007821,2,2
1111,47157007822,2,2
1112,47157007900,2,2
1113,47157008000,2,2
1114,47157008110,2,1
1115,47157008120,2,2
1116,47157008200,2,2
1117,47157008500,2,2
1118,47157008600,2,2
1119,47157008700,2,2
1120,47157008800,2,2
1121,47157008900,2,1
1122,47157009100,2,2
1123,47157009200,2,2
1124,47157009300,2,2
1125,47157009400,2,2
1126,47157009500,2,2
1127,47157009600,2,2
1128,47157009700,2,2
1129,47157009800,2,2
1130,47157009901,2,1
1131,47157009902,2,2
1132,47157010000,2,2
1133,47157010110,2,1
1134,47157010120,2,1
1135,47157010210,2,2
1136,47157010220,2,2
1137,47157010300,2,1
1138,47157010500,2,1
1139,47157010610,2,2
1140,47157010620,2,2
1141,47157010630,2,2
1142,47157010710,2,2
1143,47157010720,2,2
1144,47157010810,2,2
1145,47157010820,2,2
1146,47157011010,2,2
1147,47157011020,2,2
1148,47157011100,2,1
1149,47157011200,2,1
1150,47157011300,2,1
1151,47157011400,2,2
1152,47157011500,2,1
1153,47157011600,2,1
1154,47157011700,2,1
1155,47157011800,2,2
1156,47157020101,2,2
1157,47157020102,1,1
1158,47157020210,1,1
1159,47157020221,1,1
1160,47157020222,1,1
1161,47157020300,1,1
1162,47157020400,1,1
1163,47157020511,2,2
1164,47157020512,2,2
1165,47157020521,2,2
1166,47157020523,2,2
1167,47157020524,2,2
1168,47157020531,2,2
1169,47157020532,2,2
1170,47157020541,2,2
1171,47157020542,2,2
1172,47157020610,2,2
1173,47157020621,2,2
1174,47157020622,2,2
1175,47157020632,2,2
1176,47157020633,2,2
1177,47157020634,2,2
1178,47157020635,2,2
1179,47157020642,2,2
1180,47157020643,2,2
1181,47157020644,2,2
1182,47157020651,2,2
1183,47157020652,2,2
1184,47157020700,1,1
1185,47157020810,2,1
1186,47157020820,2,2
1187,47157020831,2,2
1188,47157020832,2,2
1189,47157020900,2,2
1190,47157021010,2,2
1191,47157021020,2,2
1192,47157021111,2,2
1193,47157021112,2,2
1194,47157021113,2,2
1195,47157021121,2,2
1196,47157021122,2,2
1197,47157021124,2,2
1198,47157021125,2,2
1199,47157021126,2,2
1200,47157021135,2,2
1201,47157021136,2,2
1202,47157021137,2,2
1203,47157021138,2,2
1204,47157021139,2,2
1205,47157021140,2,2
1206,47157021141,2,2
1207,47157021142,2,2
1208,47157021200,2,1
1209,47157021311,2,2
1210,47157021312,2,2
1211,47157021320,2,2
1212,47157021331,2,2
1213,47157021333,2,2
1214,47157021334,2,2
1215,47157021341,2,2
1216,47157021342,2,2
1217,47157021351,2,2
1218,47157021352,2,2
1219,47157021353,2,2
1220,47157021410,2,2
1221,47157021420,2,2
1222,47157021430,2,2
1223,47157021510,2,2
1224,47157021520,2,2
1225,47157021530,2,2
1226,47157021540,2,2
1227,47157021611,2,2
1228,47157021612,2,2
1229,47157021613,2,2
1230,47157021620,2,2
1231,47157021710,2,2
1232,47157021721,2,2
1233,47157021724,2,2
1234,47157021725,2,2
1235,47157021726,2,2
1236,47157021731,2,2
1237,47157021732,2,2
1238,47157021741,2,2
1239,47157021744,2,2
1240,47157021745,2,2
1241,47157021746,2,2
1242,47157021747,2,2
