,TractCode,MaxAdDown
0,47001020100,624.9737411764705
1,47001020201,419.0394736842105
2,47001020202,538.2822580645161
3,47001020300,928.86
4,47001020400,771.2043010752689
5,47001020500,684.202380952381
6,47001020600,987.0
7,47001020700,870.7978791946308
8,47001020800,420.99198367346935
9,47001020901,498.1608695652174
10,47001020902,530.1771653543307
11,47001021000,649.6093189964158
12,47001021100,662.6666666666666
13,47001021201,868.4945054945055
14,47001021202,757.8107151515152
15,47001021301,698.0315789473684
16,47001021302,693.5923566878981
17,47001980100,29.576888888888888
18,47003950100,630.8360655737705
19,47003950200,152.629392971246
20,47003950300,385.27979274611397
21,47003950401,886.5963855421687
22,47003950402,787.7366255144033
23,47003950500,919.7180616740088
24,47003950600,912.9130434782609
25,47003950700,300.24899598393574
26,47003950800,144.41153846153847
27,47005963000,40.47302189781022
28,47005963100,90.82644628099173
29,47005963200,11.491935483870968
30,47005963300,940.0
31,47005963400,497.8791208791209
32,47007953000,350.3243243243243
33,47007953100,458.52265372168284
34,47007953200,111.0204081632653
35,47009010100,951.4285714285714
36,47009010200,950.1532846715329
37,47009010301,920.9076305220883
38,47009010302,918.3899204244032
39,47009010400,787.2289156626506
40,47009010500,950.7637795275591
41,47009010600,972.496062992126
42,47009010700,989.0384615384615
43,47009010800,973.2727272727273
44,47009010900,922.4817518248175
45,47009011001,955.7111111111111
46,47009011002,942.3076923076923
47,47009011101,956.6526315789474
48,47009011102,960.3776223776224
49,47009011200,951.5013623978201
50,47009011301,905.9285714285714
51,47009011302,630.8661971830986
52,47009011401,213.15853658536585
53,47009011402,307.9446808510638
54,47009011501,141.5909090909091
55,47009011502,661.1298701298701
56,47009011503,804.0085227272727
57,47009011602,921.3240223463687
58,47009011603,593.0711111111111
59,47009011604,879.1526717557252
60,47009011605,712.8965517241379
61,47009980100,944.8
62,47009980200,6.6
63,47011010100,959.6774193548387
64,47011010200,961.3422818791946
65,47011010300,964.4216867469879
66,47011010400,974.7652173913043
67,47011010500,973.4090909090909
68,47011010600,966.2374100719425
69,47011010700,967.0967741935484
70,47011010800,984.7272727272727
71,47011010900,949.7142857142857
72,47011011000,982.8571428571429
73,47011011100,816.6303317535545
74,47011011201,913.1531914893617
75,47011011202,960.1
76,47011011300,827.8388794788274
77,47011011401,954.8963730569948
78,47011011402,939.0434782608696
79,47011011500,931.2470238095239
80,47011011601,835.6582278481013
81,47011011602,722.2920792079208
82,47013950100,33.03157894736842
83,47013950200,205.1103896103896
84,47013950300,50.0
85,47013950400,289.4423076923077
86,47013950500,206.7
87,47013950600,528.1455696202531
88,47013950700,590.7619047619048
89,47013950800,149.19791666666666
90,47013950900,148.40963855421685
91,47013951000,80.09027777777777
92,47013951100,218.35896598639457
93,47015960100,87.58029197080292
94,47015960200,79.80546075085324
95,47015960300,62.76158940397351
96,47017962000,650.5863787375415
97,47017962100,834.4274391534391
98,47017962201,859.6164827586206
99,47017962202,927.9451612903226
100,47017962300,646.0645161290323
101,47017962400,29.33909677419355
102,47017962500,321.47392105263157
103,47017980100,6.321454545454546
104,47019070100,931.651376146789
105,47019070200,914.516129032258
106,47019070300,935.6015625
107,47019070400,940.0
108,47019070500,633.2657657657658
109,47019070600,415.66
110,47019070700,534.5546875
111,47019070800,870.9565217391304
112,47019070900,902.7358490566038
113,47019071000,923.6607142857143
114,47019071100,940.0
115,47019071200,917.4264705882352
116,47019071300,923.9784482758621
117,47019071400,142.588
118,47019071500,102.70672941176468
119,47019071600,311.6171875
120,47019071700,896.4715647668393
121,47021070102,408.1046511627907
122,47021070103,903.7357681159419
123,47021070104,541.379746835443
124,47021070201,928.574074074074
125,47021070202,936.8566666666667
126,47021070203,940.4122807017544
127,47021070300,930.7575757575758
128,47021070401,483.5431384615385
129,47021070402,745.3706896551724
130,47023970100,103.27371428571428
131,47023970200,961.1798780487804
132,47023970300,565.6607755102041
133,47025970100,797.873417721519
134,47025970200,703.3740458015267
135,47025970300,619.0569105691056
136,47025970400,422.0
137,47025970500,760.8759124087592
138,47025970600,657.4540229885057
139,47025970700,854.5420168067227
140,47025970800,845.9854368932039
141,47025970900,1000.0
142,47027955000,573.9491525423729
143,47027955100,821.0645161290323
144,47029920100,301.3192771084337
145,47029920200,821.140127388535
146,47029920300,258.640127388535
147,47029920400,8.19767441860465
148,47029920501,778.2938931297709
149,47029920502,368.5475
150,47029920600,929.0588235294117
151,47029920700,331.8983957219251
152,47029980100,116.6
153,47031970100,677.4224848484848
154,47031970200,691.4347155963302
155,47031970300,725.3333333333334
156,47031970400,818.6267605633802
157,47031970500,958.5806451612904
158,47031970600,940.6469387755102
159,47031970700,830.183486238532
160,47031970801,982.7397260273973
161,47031970802,813.8097686375321
162,47031970900,969.2105263157895
163,47031971000,977.5
164,47031980100,307.1794871794872
165,47033961000,498.52582178217824
166,47033961100,642.9076869565218
167,47033961200,199.05154639175257
168,47033961300,241.01863354037266
169,47033961400,851.8938679245283
170,47035970101,656.781954887218
171,47035970102,490.1311475409836
172,47035970200,168.79310344827587
173,47035970301,65.15025906735751
