,TractCode,CountBlocks,Blocks With Choice,Blocks With Choice 3mbps,Blocks With Choice 12mbps,Blocks With Choice 25mbps,Prop With Choice,Prop With Choice 25mbps
183,47035970800,465,222.0,160.0,20.0,20.0,47.74,4.3
184,47037010103,37,27.0,26.0,24.0,23.0,72.97,62.16
185,47037010104,40,22.0,21.0,20.0,15.0,55.0,37.5
186,47037010105,42,37.0,36.0,32.0,27.0,88.1,64.29
187,47037010106,39,39.0,37.0,35.0,29.0,100.0,74.36
188,47037010201,58,46.0,46.0,45.0,44.0,79.31,75.86
189,47037010202,52,38.0,36.0,34.0,29.0,73.08,55.77
190,47037010301,41,37.0,37.0,37.0,34.0,90.24,82.93
191,47037010302,49,48.0,48.0,44.0,24.0,97.96,48.98
192,47037010303,46,41.0,39.0,32.0,31.0,89.13,67.39
193,47037010401,62,50.0,45.0,42.0,35.0,80.65,56.45
194,47037010402,64,64.0,60.0,43.0,37.0,100.0,57.81
195,47037010501,155,155.0,154.0,151.0,143.0,100.0,92.26
196,47037010502,92,91.0,91.0,89.0,87.0,98.91,94.57
197,47037010601,43,40.0,40.0,39.0,39.0,93.02,90.7
198,47037010602,27,27.0,22.0,19.0,19.0,100.0,70.37
199,47037010701,50,50.0,50.0,49.0,44.0,100.0,88.0
200,47037010702,28,27.0,25.0,15.0,7.0,96.43,25.0
201,47037010801,48,48.0,48.0,48.0,48.0,100.0,100.0
202,47037010802,52,52.0,52.0,51.0,51.0,100.0,98.08
203,47037010901,37,35.0,35.0,35.0,35.0,94.59,94.59
204,47037010903,30,28.0,28.0,28.0,27.0,93.33,90.0
205,47037010904,33,32.0,32.0,32.0,31.0,96.97,93.94
206,47037011001,53,53.0,51.0,50.0,48.0,100.0,90.57
207,47037011002,38,35.0,35.0,33.0,33.0,92.11,86.84
208,47037011100,61,60.0,60.0,59.0,57.0,98.36,93.44
209,47037011200,67,66.0,66.0,63.0,63.0,98.51,94.03
210,47037011300,91,81.0,79.0,74.0,71.0,89.01,78.02
211,47037011400,76,75.0,75.0,74.0,69.0,98.68,90.79
212,47037011500,76,76.0,76.0,76.0,75.0,100.0,98.68
213,47037011600,60,60.0,60.0,60.0,60.0,100.0,100.0
214,47037011700,159,157.0,157.0,153.0,136.0,98.74,85.53
215,47037011800,90,88.0,88.0,83.0,83.0,97.78,92.22
216,47037011900,64,63.0,62.0,59.0,57.0,98.44,89.06
217,47037012100,87,87.0,87.0,86.0,86.0,100.0,98.85
218,47037012200,110,110.0,110.0,110.0,109.0,100.0,99.09
219,47037012600,58,57.0,56.0,47.0,47.0,98.28,81.03
220,47037012701,56,40.0,40.0,40.0,38.0,71.43,67.86
221,47037012702,75,68.0,63.0,63.0,61.0,90.67,81.33
222,47037012801,76,74.0,74.0,74.0,69.0,97.37,90.79
223,47037012802,66,57.0,57.0,57.0,53.0,86.36,80.3
224,47037013000,25,24.0,23.0,3.0,2.0,96.0,8.0
225,47037013100,45,24.0,24.0,20.0,17.0,53.33,37.78
226,47037013201,41,41.0,41.0,41.0,41.0,100.0,100.0
227,47037013202,49,48.0,48.0,48.0,48.0,97.96,97.96
228,47037013300,193,188.0,188.0,176.0,164.0,97.41,84.97
229,47037013400,236,216.0,214.0,213.0,209.0,91.53,88.56
230,47037013500,78,76.0,71.0,69.0,68.0,97.44,87.18
231,47037013601,101,99.0,78.0,71.0,67.0,98.02,66.34
232,47037013602,18,6.0,5.0,4.0,4.0,33.33,22.22
233,47037013700,176,149.0,143.0,137.0,134.0,84.66,76.14
234,47037013800,46,46.0,43.0,43.0,43.0,100.0,93.48
235,47037013900,64,63.0,60.0,60.0,60.0,98.44,93.75
236,47037014200,80,80.0,41.0,19.0,13.0,100.0,16.25
237,47037014300,88,88.0,87.0,83.0,83.0,100.0,94.32
238,47037014400,102,99.0,96.0,60.0,30.0,97.06,29.41
239,47037014800,54,54.0,36.0,13.0,9.0,100.0,16.67
240,47037015100,75,59.0,53.0,48.0,44.0,78.67,58.67
241,47037015200,34,34.0,34.0,33.0,33.0,100.0,97.06
242,47037015300,79,69.0,69.0,68.0,67.0,87.34,84.81
243,47037015401,66,61.0,60.0,60.0,59.0,92.42,89.39
244,47037015402,44,43.0,43.0,43.0,43.0,97.73,97.73
245,47037015404,34,29.0,29.0,29.0,27.0,85.29,79.41
246,47037015405,35,33.0,33.0,30.0,30.0,94.29,85.71
247,47037015501,30,27.0,27.0,27.0,26.0,90.0,86.67
248,47037015502,59,58.0,58.0,58.0,54.0,98.31,91.53
249,47037015609,21,16.0,16.0,16.0,16.0,76.19,76.19
250,47037015610,52,42.0,42.0,39.0,36.0,80.77,69.23
251,47037015612,36,31.0,31.0,31.0,30.0,86.11,83.33
252,47037015613,51,44.0,44.0,42.0,35.0,86.27,68.63
253,47037015614,14,14.0,14.0,14.0,14.0,100.0,100.0
254,47037015615,29,28.0,28.0,28.0,26.0,96.55,89.66
255,47037015617,25,22.0,22.0,22.0,22.0,88.0,88.0
256,47037015618,49,48.0,48.0,48.0,47.0,97.96,95.92
257,47037015619,28,28.0,28.0,28.0,28.0,100.0,100.0
258,47037015620,36,35.0,35.0,35.0,34.0,97.22,94.44
259,47037015622,25,24.0,24.0,23.0,22.0,96.0,88.0
260,47037015623,40,38.0,38.0,38.0,31.0,95.0,77.5
261,47037015624,21,17.0,17.0,17.0,17.0,80.95,80.95
262,47037015625,27,27.0,27.0,26.0,26.0,100.0,96.3
263,47037015626,26,23.0,23.0,23.0,21.0,88.46,80.77
264,47037015627,21,17.0,17.0,16.0,15.0,80.95,71.43
265,47037015628,11,11.0,11.0,8.0,4.0,100.0,36.36
266,47037015629,31,23.0,22.0,18.0,13.0,74.19,41.94
267,47037015630,30,29.0,29.0,28.0,27.0,96.67,90.0
268,47037015631,60,55.0,55.0,51.0,51.0,91.67,85.0
269,47037015700,30,28.0,28.0,28.0,23.0,93.33,76.67
270,47037015802,46,45.0,45.0,39.0,27.0,97.83,58.7
271,47037015803,6,6.0,4.0,2.0,1.0,100.0,16.67
272,47037015804,21,21.0,21.0,13.0,12.0,100.0,57.14
273,47037015900,91,40.0,26.0,13.0,9.0,43.96,9.89
274,47037016000,82,79.0,74.0,41.0,22.0,96.34,26.83
275,47037016100,94,87.0,76.0,63.0,60.0,92.55,63.83
276,47037016200,93,90.0,80.0,71.0,64.0,96.77,68.82
277,47037016300,69,68.0,67.0,65.0,58.0,98.55,84.06
278,47037016400,54,50.0,50.0,44.0,30.0,92.59,55.56
279,47037016500,55,55.0,55.0,26.0,3.0,100.0,5.45
280,47037016600,65,61.0,61.0,50.0,33.0,93.85,50.77
281,47037016700,85,84.0,84.0,83.0,81.0,98.82,95.29
282,47037016800,95,93.0,93.0,87.0,77.0,97.89,81.05
283,47037016900,125,125.0,125.0,125.0,123.0,100.0,98.4
284,47037017000,102,99.0,98.0,93.0,93.0,97.06,91.18
285,47037017100,52,48.0,48.0,48.0,41.0,92.31,78.85
286,47037017200,143,83.0,79.0,79.0,66.0,58.04,46.15
287,47037017300,121,115.0,115.0,115.0,105.0,95.04,86.78
288,47037017401,24,23.0,23.0,23.0,23.0,95.83,95.83
289,47037017402,47,44.0,43.0,43.0,43.0,93.62,91.49
290,47037017500,95,95.0,95.0,62.0,56.0,100.0,58.95
291,47037017701,41,35.0,35.0,35.0,35.0,85.37,85.37
292,47037017702,44,41.0,41.0,41.0,41.0,93.18,93.18
293,47037017800,71,68.0,68.0,68.0,67.0,95.77,94.37
294,47037017901,86,68.0,66.0,65.0,62.0,79.07,72.09
295,47037017902,43,43.0,43.0,42.0,39.0,100.0,90.7
296,47037018000,73,73.0,72.0,71.0,67.0,100.0,91.78
297,47037018101,48,48.0,47.0,46.0,40.0,100.0,83.33
298,47037018102,59,54.0,52.0,52.0,51.0,91.53,86.44
299,47037018201,54,54.0,54.0,54.0,53.0,100.0,98.15
300,47037018202,21,18.0,18.0,18.0,18.0,85.71,85.71
301,47037018203,36,36.0,36.0,32.0,22.0,100.0,61.11
302,47037018301,78,62.0,57.0,50.0,48.0,79.49,61.54
303,47037018302,46,39.0,37.0,26.0,21.0,84.78,45.65
304,47037018401,35,34.0,34.0,34.0,34.0,97.14,97.14
305,47037018404,31,29.0,29.0,28.0,26.0,93.55,83.87
306,47037018405,44,43.0,43.0,43.0,41.0,97.73,93.18
307,47037018407,24,24.0,24.0,24.0,24.0,100.0,100.0
308,47037018408,15,14.0,14.0,14.0,14.0,93.33,93.33
309,47037018409,60,59.0,58.0,58.0,55.0,98.33,91.67
310,47037018410,16,15.0,15.0,15.0,15.0,93.75,93.75
311,47037018500,105,99.0,97.0,97.0,93.0,94.29,88.57
312,47037018601,38,36.0,36.0,36.0,36.0,94.74,94.74
313,47037018602,57,57.0,57.0,56.0,56.0,100.0,98.25
314,47037018700,74,73.0,68.0,63.0,59.0,98.65,79.73
315,47037018801,93,87.0,87.0,86.0,80.0,93.55,86.02
316,47037018803,29,29.0,28.0,28.0,27.0,100.0,93.1
317,47037018804,29,29.0,29.0,29.0,29.0,100.0,100.0
318,47037018901,29,29.0,29.0,28.0,25.0,100.0,86.21
319,47037018902,33,33.0,33.0,33.0,31.0,100.0,93.94
320,47037018904,29,28.0,28.0,25.0,24.0,96.55,82.76
321,47037018905,15,15.0,15.0,15.0,14.0,100.0,93.33
322,47037019003,25,24.0,23.0,22.0,21.0,96.0,84.0
323,47037019004,32,31.0,31.0,31.0,31.0,96.88,96.88
324,47037019005,14,14.0,14.0,14.0,14.0,100.0,100.0
325,47037019006,33,29.0,29.0,29.0,28.0,87.88,84.85
326,47037019105,32,30.0,28.0,26.0,26.0,93.75,81.25
327,47037019106,21,19.0,19.0,19.0,19.0,90.48,90.48
328,47037019108,15,14.0,14.0,12.0,12.0,93.33,80.0
329,47037019109,27,26.0,26.0,26.0,26.0,96.3,96.3
330,47037019110,30,26.0,26.0,26.0,26.0,86.67,86.67
331,47037019111,25,22.0,22.0,22.0,21.0,88.0,84.0
332,47037019112,24,23.0,23.0,22.0,21.0,95.83,87.5
333,47037019114,117,107.0,99.0,86.0,86.0,91.45,73.5
334,47037019115,27,27.0,27.0,26.0,26.0,100.0,96.3
335,47037019116,19,19.0,19.0,19.0,18.0,100.0,94.74
336,47037019117,29,23.0,23.0,20.0,18.0,79.31,62.07
337,47037019118,16,16.0,16.0,16.0,16.0,100.0,100.0
338,47037019200,127,127.0,125.0,116.0,114.0,100.0,89.76
339,47037019300,86,80.0,67.0,24.0,17.0,93.02,19.77
340,47037019400,218,211.0,203.0,172.0,154.0,96.79,70.64
341,47037019500,414,362.0,358.0,174.0,89.0,87.44,21.5
342,47037019600,95,65.0,50.0,27.0,22.0,68.42,23.16
343,47037980100,32,19.0,16.0,8.0,3.0,59.38,9.38
344,47037980200,70,18.0,13.0,11.0,1.0,25.71,1.43
345,47039955001,180,81.0,76.0,32.0,4.0,45.0,2.22
346,47039955002,390,266.0,265.0,221.0,156.0,68.21,40.0
347,47039955101,159,102.0,102.0,84.0,63.0,64.15,39.62
348,47039955102,230,119.0,114.0,46.0,7.0,51.74,3.04
349,47041920101,107,97.0,96.0,50.0,40.0,90.65,37.38
350,47041920102,193,191.0,191.0,47.0,42.0,98.96,21.76
351,47041920200,264,264.0,264.0,227.0,227.0,100.0,85.98
352,47041920300,365,341.0,339.0,167.0,157.0,93.42,43.01
353,47043060100,79,15.0,9.0,4.0,3.0,18.99,3.8
354,47043060200,196,139.0,135.0,72.0,45.0,70.92,22.96
355,47043060300,193,170.0,161.0,106.0,39.0,88.08,20.21
356,47043060401,123,96.0,95.0,86.0,77.0,78.05,62.6
357,47043060402,186,133.0,131.0,122.0,110.0,71.51,59.14
358,47043060501,199,180.0,165.0,135.0,84.0,90.45,42.21
359,47043060502,134,126.0,124.0,107.0,53.0,94.03,39.55
360,47043060601,155,137.0,131.0,114.0,57.0,88.39,36.77
361,47043060602,229,185.0,175.0,145.0,113.0,80.79,49.34
362,47043060700,148,107.0,106.0,85.0,78.0,72.3,52.7
363,47045964000,397,393.0,393.0,387.0,77.0,98.99,19.4
364,47045964200,211,211.0,211.0,211.0,97.0,100.0,45.97
365,47045964300,233,233.0,233.0,233.0,89.0,100.0,38.2
366,47045964400,266,260.0,260.0,260.0,71.0,97.74,26.69
367,47045964500,125,98.0,98.0,96.0,31.0,78.4,24.8
368,47045964600,218,145.0,143.0,93.0,52.0,66.51,23.85
369,47045964800,287,241.0,241.0,232.0,58.0,83.97,20.21
370,47045964900,179,179.0,179.0,179.0,49.0,100.0,27.37
371,47047060300,94,47.0,47.0,45.0,45.0,50.0,47.87
372,47047060401,79,71.0,71.0,57.0,51.0,89.87,64.56
373,47047060402,71,57.0,57.0,40.0,38.0,80.28,53.52
374,47047060403,109,85.0,85.0,72.0,66.0,77.98,60.55
375,47047060404,98,88.0,85.0,84.0,79.0,89.8,80.61
376,47047060501,109,99.0,96.0,78.0,51.0,90.83,46.79
377,47047060502,120,76.0,70.0,53.0,31.0,63.33,25.83
378,47047060600,125,82.0,73.0,36.0,23.0,65.6,18.4
379,47047060701,77,41.0,40.0,24.0,19.0,53.25,24.68
380,47047060702,118,92.0,91.0,77.0,75.0,77.97,63.56
381,47047060800,100,47.0,40.0,8.0,3.0,47.0,3.0
382,47049965000,199,152.0,114.0,76.0,43.0,76.38,21.61
383,47049965100,181,172.0,168.0,140.0,101.0,95.03,55.8
384,47049965200,212,184.0,158.0,124.0,78.0,86.79,36.79
385,47049965300,169,123.0,100.0,75.0,45.0,72.78,26.63
386,47051960100,394,155.0,145.0,110.0,103.0,39.34,26.14
387,47051960201,254,215.0,215.0,205.0,202.0,84.65,79.53
388,47051960202,478,355.0,353.0,301.0,298.0,74.27,62.34
389,47051960300,195,56.0,56.0,52.0,52.0,28.72,26.67
390,47051960400,419,326.0,326.0,293.0,291.0,77.8,69.45
391,47051960500,197,153.0,153.0,150.0,141.0,77.66,71.57
392,47051960600,422,254.0,253.0,181.0,176.0,60.19,41.71
393,47051960700,185,104.0,91.0,76.0,37.0,56.22,20.0
394,47051960800,235,101.0,97.0,75.0,72.0,42.98,30.64
395,47053966100,225,179.0,178.0,151.0,116.0,79.56,51.56
396,47053966200,221,187.0,186.0,171.0,101.0,84.62,45.7
397,47053966300,162,82.0,69.0,28.0,1.0,50.62,0.62
398,47053966400,266,181.0,170.0,98.0,19.0,68.05,7.14
399,47053966500,235,190.0,186.0,101.0,4.0,80.85,1.7
400,47053966600,76,64.0,54.0,27.0,18.0,84.21,23.68
401,47053966700,314,221.0,218.0,138.0,1.0,70.38,0.32
402,47053966800,129,49.0,47.0,42.0,3.0,37.98,2.33
403,47053966900,172,166.0,161.0,129.0,109.0,96.51,63.37
404,47053967000,231,204.0,171.0,102.0,42.0,88.31,18.18
405,47053967100,186,154.0,142.0,109.0,93.0,82.8,50.0
406,47053967300,147,147.0,147.0,147.0,1.0,100.0,0.68
407,47053967400,375,219.0,215.0,173.0,99.0,58.4,26.4
408,47053980100,37,8.0,8.0,0.0,0.0,21.62,0.0
409,47055920100,197,92.0,73.0,39.0,39.0,46.7,19.8
410,47055920200,284,193.0,192.0,157.0,157.0,67.96,55.28
411,47055920300,410,241.0,229.0,130.0,124.0,58.78,30.24
412,47055920400,260,222.0,221.0,192.0,191.0,85.38,73.46
