,Any DSL,Other Copper,Cable Modem Other,Cable Modem DOCSIS 3.1,Optical Carrier Fiber,Terrestrial Fixed Wireless
2015,99.26519706078824,23.580494321977287,96.45958583834336,0.0,37.675350701402806,20.307281229124914
2017,98.99799599198397,5.210420841683367,64.72945891783567,50.16700066800267,65.19706078824315,37.27454909819639
2019,98.86439545758184,2.137608550434202,17.70207080828323,95.39078156312625,79.29191716766867,54.97661990647963
