,Minimally Served by Definition,TractCode
267070,False,47093006302
267203,False,47093006401
267315,False,47093006402
267526,False,47093006403
267606,False,47093006501
267789,False,47093006502
267933,False,47157007810
268129,False,47105060100
268626,False,47105060202
269612,False,47105060301
269979,False,47105060501
270738,False,47107970101
270948,False,47107970102
271224,False,47107970300
271601,False,47107970401
271830,False,47107970402
272207,False,47107970500
272584,False,47107970600
273151,False,47107970700
273643,False,47107970800
274050,False,47109930600
274203,False,47109930700
274431,False,47111970100
274688,False,47111970200
274940,False,47111970300
275391,False,47111970400
275537,False,47115050101
275773,False,47115050201
276199,False,47125101102
276438,False,47125101303
276652,False,47125101306
276790,False,47125101307
276874,False,47125101400
276916,False,47125101700
277218,False,47125102003
277302,False,47127930100
277436,False,47127930200
277672,False,47129110400
277991,False,47129110500
278391,False,47133950301
279104,False,47133950302
279560,False,47133950400
279753,False,47137925100
280435,False,47139950201
280584,False,47139950202
281377,False,47139950300
281640,False,47145030100
281762,False,47145030201
282182,False,47145030202
282716,False,47145030300
282975,False,47145030600
283234,False,47145030700
283646,False,47145030800
284344,False,47145030900
284697,False,47147080101
284930,False,47147080103
285182,False,47147080104
285426,False,47147080200
285714,False,47147080301
285827,False,47147080401
286080,False,47147080402
286292,False,47147080500
286520,False,47147080603
286671,False,47147080604
286796,False,47147080605
286908,False,47147080606
287091,False,47147080700
287417,False,47149040101
287500,False,47149040102
287546,False,47149040103
287726,False,47149040104
287870,False,47149040105
287988,False,47149040200
288191,False,47149040302
288577,False,47149040303
288653,False,47149040304
288776,False,47149040305
288855,False,47149040307
288917,False,47149040308
289043,False,47149040403
289292,False,47149040502
289487,False,47149040701
289823,False,47157020512
290006,False,47149040702
290267,False,47149040807
290371,False,47149040808
290573,False,47149040809
290677,False,47149040810
290871,False,47149040903
291081,False,47149040904
291177,False,47149040905
291361,False,47149041000
291569,False,47149041101
291859,False,47149041102
291929,False,47149041202
292042,False,47149041302
292285,False,47149041402
292359,False,47149041403
292476,False,47149041500
292492,False,47151975000
292975,False,47151975100
293653,False,47151975200
294123,False,47151975300
294388,False,47153060200
294731,False,47155080101
294930,False,47155080102
295343,False,47155080201
295640,False,47155080202
295921,False,47155080400
296249,False,47155080500
296707,False,47155080601
297021,False,47155080602
297348,False,47155080801
297605,False,47155080802
298025,False,47155080901
298320,False,47155080902
298700,False,47155081000
299488,False,47155081102
299880,True,47155980100
299902,False,47157000100
300212,False,47157000200
300284,False,47157000300
300369,False,47157000400
300490,False,47157000600
300637,False,47157000700
300823,False,47157000800
300963,False,47157000900
301140,False,47157001100
301259,False,47157001200
301418,False,47157001300
301582,False,47157001400
301703,False,47157001900
301794,False,47157002400
301919,False,47157002600
302046,False,47157002800
302249,False,47157002900
302501,False,47157003200
302684,False,47157003300
302801,False,47157003400
302933,False,47157003500
303071,False,47157003700
303185,False,47157004300
303333,False,47157004600
303483,False,47157005300
303805,False,47157005600
304082,False,47157005700
304354,False,47157005800
304457,False,47157006000
304586,False,47157006200
304732,False,47157006300
304876,False,47157006400
304970,False,47157006600
305164,False,47157006700
305406,False,47157006800
305531,False,47157007000
305657,False,47157007100
305790,False,47157007200
305917,False,47157007400
306068,False,47157007500
306146,False,47157007821
306315,False,47157007822
306402,False,47157007900
306590,False,47157008110
306712,False,47157008120
306924,False,47157008200
307069,False,47157008700
307254,False,47157008800
307535,False,47157008900
307734,False,47157009100
307843,False,47157009400
308047,False,47157009700
308168,False,47157009902
308317,False,47157010000
308554,False,47157010110
308782,False,47157010120
309009,False,47157010220
309261,False,47157010300
309297,False,47157010620
309415,False,47157010630
309529,False,47157010720
309627,False,47157010810
309803,False,47157011010
309946,False,47157011600
310178,False,47157020511
310278,False,47157020521
310377,False,47157020523
310466,False,47157020524
310604,False,47157020531
310777,False,47157020542
310969,False,47157020621
311256,False,47157020633
311372,False,47157020634
311475,False,47157020635
311583,False,47157020642
311838,False,47157020643
312049,False,47157020644
312339,False,47157020651
312655,False,47157020652
312863,False,47157020820
313113,False,47157020831
313202,False,47157020900
313545,False,47157021122
313680,False,47157021125
313871,False,47157021135
314169,False,47157021137
314481,False,47157021139
314580,False,47157021141
314765,False,47157021200
314801,False,47157021333
314905,False,47157021352
315104,False,47157021353
315371,False,47157021410
315486,False,47157021420
315679,False,47157021430
315910,False,47157021530
316076,False,47157021540
316409,False,47157021611
316639,False,47157021612
316801,False,47157021613
316937,False,47157021725
317015,False,47157021726
317065,False,47157021732
317242,False,47157021744
317406,False,47157021746
317497,False,47157021747
317598,False,47157021751
317776,False,47157021753
317864,False,47157021754
317981,False,47157022023
318135,False,47157022024
318317,False,47157022121
318531,False,47157022122
318670,False,47157022130
318882,False,47157022210
319052,False,47157022220
319275,False,47157022310
319461,False,47157022321
319619,False,47157022322
319807,False,47157022330
319986,False,47157022410
320270,False,47159975000
320402,False,47159975400
320947,False,47163040200
321517,False,47163041000
321706,False,47163041100
321873,False,47163041300
322158,False,47163041800
322373,False,47163042400
322746,False,47163043100
323136,False,47163043402
323558,False,47163043600
323847,False,47165020101
323959,False,47165020102
324128,False,47165020203
324221,False,47165020204
324413,False,47165020205
324534,False,47165020206
324621,False,47165020207
324679,False,47165020208
324773,False,47165020209
324844,False,47165020300
325169,False,47165020403
325237,False,47165020404
325292,False,47165020405
325353,False,47165020406
325457,False,47165020407
325586,False,47165020501
325773,False,47165020502
325882,False,47165020503
325955,False,47165020601
326074,False,47165020602
326290,False,47165020603
326414,False,47165020700
326812,False,47165020901
326862,False,47165020902
327197,False,47165020903
327374,False,47165021002
327579,False,47165021004
327665,False,47165021005
327863,False,47165021006
327942,False,47165021007
328002,False,47165021008
328092,False,47165021009
328212,False,47165021103
328375,False,47165021104
328476,False,47165021105
328661,False,47165021106
328829,False,47165021107
328994,False,47165021201
329206,False,47165021203
329374,False,47165021204
329581,False,47167040400
329703,False,47167040700
330143,False,47169090100
330323,False,47171080100
330463,False,47171080200
330971,False,47171080300
331370,False,47171080400
331807,False,47173040100
332287,False,47173040201
332562,False,47173040202
332856,False,47179060100
333249,False,47179060501
333516,False,47063101100
334040,False,47063100500
334237,False,47057500402
334882,False,47057500401
335298,False,47057500300
336377,False,47089070100
337176,False,47089070300
338146,False,47073050100
338603,False,47057500100
339070,False,47063100900
339439,False,47089070600
340199,False,47067960500
340324,False,47073050200
340566,False,47073050301
341104,False,47029920300
341191,False,47079969000
341756,False,47079969600
342550,False,47079969700
342595,False,47017962000
343124,False,47079969200
343312,False,47161110700
343668,False,47003950800
344042,False,47003950300
344467,False,47003950402
345218,False,47117955100
345893,False,47117955000
346556,False,47117955500
347154,False,47117955200
348166,False,47119010202
348616,False,47113001609
348789,False,47131965600
349269,False,47009010800
349586,False,47011010100
350146,False,47011010500
350799,False,47011010700
351469,False,47011011201
352055,False,47011011202
352608,False,47103975400
353140,False,47109930100
353598,False,47115050202
354289,False,47115050301
355193,False,47119011001
355653,False,47119011002
356420,False,47123925200
357116,False,47125100100
357357,False,47125100300
357544,False,47125101101
357624,False,47125101803
357858,False,47125101903
358121,False,47125101904
358256,False,47125102001
358476,False,47125102005
358608,False,47157020210
358771,False,47157020400
358827,True,47157980300
358832,False,47163042100
359381,False,47163042600
359870,False,47163042701
360446,False,47163042801
360714,False,47163043000
361380,False,47163043500
361887,False,47189030800
362318,False,47077975100
362536,False,47077975200
362803,False,47023970100
363077,False,47183968600
363516,False,47183968400
364220,False,47075930200
364298,False,47109930200
364450,False,47069950100
364652,False,47097050400
364821,False,47097050600
365054,False,47183968500
365483,False,47097050505
365745,False,47109930300
366001,False,47167040302
366231,False,47071920200
366762,False,47143975000
367409,False,47143975100
367946,False,47151975400
368220,False,47103975200
368493,False,47055920700
368539,False,47103975100
368750,False,47103975700
368909,False,47183968000
369118,False,47183968700
369373,False,47011010300
369656,False,47011010900
369978,False,47031970801
370362,False,47071920300
370761,False,47071920400
371385,False,47073050601
371701,False,47099960401
372546,False,47103975300
373201,False,47103975601
373425,False,47105060302
373869,False,47121960200
374325,False,47123925100
374860,False,47123925300
375388,False,47123925400
376100,False,47125100602
376251,False,47125100800
376636,False,47125101202
376756,False,47129110300
376920,False,47153060101
377281,False,47163040800
377548,False,47163041200
377909,False,47163042702
378173,False,47163043401
378649,False,47183968203
379061,False,47189030401
379205,False,47189030500
379545,False,47115050102
380075,False,47115050302
380241,False,47027955000
380999,False,47027955100
381315,False,47049965000
381798,False,47049965200
382427,False,47049965300
382875,False,47087960200
383081,False,47087960400
383215,False,47133950100
383467,False,47133950500
383990,False,47133950600
384213,False,47141000200
385212,False,47141000301
385527,False,47141000302
385921,False,47141000303
386141,False,47141000400
386555,False,47141000900
387236,False,47141001000
387720,False,47141001100
388703,False,47141001300
388865,False,47163042200
389246,False,47163042300
389691,False,47163042500
389940,False,47163042802
390359,False,47163042900
390564,False,47163043201
391057,False,47163043202
391670,False,47163043301
392048,False,47157020102
392116,False,47157020222
392165,False,47167040100
392235,False,47167040200
392312,False,47167040303
392475,False,47167040304
392600,False,47091956000
392663,False,47189030700
392938,False,47073050501
393047,False,47073050400
393227,False,47139950400
393628,False,47003950600
394363,True,47009980100
394426,False,47011011100
394975,False,47017962500
395173,False,47021070203
395350,False,47091956400
395721,False,47093005809
395884,False,47097050506
395983,False,47125100200
396159,False,47125100400
396297,False,47125100500
396456,False,47125100900
396589,False,47125101001
396823,False,47125101600
396998,False,47125101802
397426,False,47125101804
397621,False,47131965800
397796,False,47181950200
398303,False,47183968101
398764,False,47139950100
398862,False,47011011402
399223,False,47189031000
399739,False,47143975300
400260,False,47011011401
400704,False,47121960300
400913,False,47011010800
401294,False,47007953100
401918,False,47143975200
402265,False,47143975402
402515,False,47007953000
402796,False,47135930100
403120,False,47081950301
403554,False,47081950400
403817,False,47135930200
404335,False,47101970100
404696,False,47181950100
405040,False,47099960200
405116,False,47131965100
405296,False,47131965000
405736,False,47131965700
406141,False,47183968102
406533,False,47129110200
406712,False,47007953200
407008,False,47035970702
407493,False,47153060102
407664,False,47003950401
408213,False,47103975000
408258,False,47117955300
408685,False,47117955400
409231,False,47119011200
410010,False,47005963100
410086,False,47011010400
410512,False,47019071100
410663,False,47019071700
410995,False,47021070201
411240,False,47031970802
411807,False,47035970701
412093,False,47039955001
412315,False,47039955002
413092,False,47039955101
413368,True,47053980100
413409,False,47071920100
413590,False,47071920500
413935,False,47073050302
414219,False,47073050502
414429,False,47073050503
414657,False,47073050602
414856,False,47073050700
414929,False,47077975000
415256,False,47091956100
415583,False,47091956200
415733,False,47093005810
415828,False,47093005811
415939,False,47103975500
416352,False,47105060502
416510,False,47105060700
416716,False,47119010100
416956,False,47125100601
417067,False,47125100700
417170,False,47125101002
417294,False,47125101103
417372,False,47125101201
417424,False,47125101305
417475,False,47125101500
417648,False,47125101902
417728,False,47125102002
417847,False,47125102004
417937,False,47125102006
418090,True,47125980100
418129,False,47155080300
418372,False,47163040300
418495,False,47163040500
418735,False,47163040900
418885,False,47163041400
419260,False,47163041500
419368,False,47163041600
419519,False,47163041700
419720,False,47163041900
419823,False,47163042000
419949,False,47025970400
419971,False,47085130100
420253,False,47103975602
420417,False,47123925502
420776,False,47029920400
420811,False,47123925501
420987,False,47085130500
421149,False,47039955102
421430,False,47181950400
421678,True,47161980100
421682,False,47005963000
421859,False,47121960100
422023,True,47009980200
422028,True,47017980100
