,Minimally Served by Definition,TractCode
13,False,47037019500
1860,False,47001020100
2101,False,47001020201
2229,False,47001020202
2541,False,47001020902
2966,False,47001021201
3185,False,47001021202
3662,True,47001980100
3696,False,47005963200
3892,False,47009010200
4569,False,47009010301
5102,False,47009010302
5899,False,47009010700
6267,False,47009010800
6633,False,47009011200
7564,False,47009011603
8080,False,47011010100
8700,False,47011010200
9269,False,47011010500
10019,False,47011010700
10715,False,47011011201
11358,False,47011011202
11925,False,47025970900
12376,False,47029920600
13196,False,47031970500
13812,False,47033961100
14887,False,47035970501
15264,False,47037010201
15469,False,47037010303
15618,False,47037010401
15844,False,47037010501
16359,False,47037012701
16521,False,47037012802
16711,False,47037013700
17480,False,47037014400
17849,False,47037015100
18205,False,47037015300
18595,False,47037015401
18859,False,47037015502
19074,False,47037015613
19264,False,47037015615
19360,False,47037015628
19408,False,47037015629
19511,False,47037015630
19647,False,47037015700
19759,False,47037015802
19930,False,47037015900
20245,False,47037016300
20512,False,47037016400
20721,False,47037016500
20925,False,47037016600
21164,False,47037016800
21533,False,47037017100
21738,False,47037017200
22030,False,47037017901
22306,False,47037017902
22485,False,47037018000
22762,False,47037018101
22946,False,47037018803
23050,False,47037018901
23165,False,47037019003
23263,False,47037019118
23328,False,47037019200
23902,False,47037019400
24651,False,47037019600
24985,True,47037980100
25077,True,47037980200
25260,False,47041920200
26042,False,47041920300
26895,False,47043060401
27178,False,47043060402
27593,False,47043060602
28210,False,47045964000
29682,False,47045964200
30975,False,47045964300
32181,False,47045964400
33528,False,47051960202
34695,False,47053966700
35690,False,47053967000
36559,False,47055920400
37290,False,47059090100
38363,False,47059091100
38889,False,47063100200
40012,False,47063100300
40737,False,47063100400
41644,False,47063100600
42690,False,47063100800
43906,False,47063101100
44864,False,47063101200
45674,False,47065001400
46186,False,47065001600
46322,False,47065002000
46944,False,47065002300
47327,False,47065002500
48023,False,47065002600
48703,False,47065003000
49027,False,47065003100
49532,False,47065003400
49827,False,47065010431
50163,False,47065010432
50438,False,47065010901
50546,False,47065011002
51016,False,47065011201
51434,False,47065011203
51609,False,47065011402
51960,False,47065011411
52211,False,47065011443
52602,False,47065011444
52820,False,47065011445
53132,False,47065011600
53647,False,47065012300
54177,True,47065980200
54199,False,47069950600
54515,False,47075930302
54775,False,47077975300
55696,False,47077975400
56555,False,47079969200
56951,False,47089070600
57963,False,47091956300
58669,False,47093000100
59015,False,47093000800
59256,False,47093001700
59566,False,47093001900
59736,False,47093002600
60020,False,47093002800
60270,False,47093003500
60541,False,47093003700
60851,False,47093003801
61088,False,47093003802
61305,False,47093004403
61787,False,47093004404
62071,False,47093004610
62293,False,47093004615
62459,False,47093004700
62780,False,47093005202
63051,False,47093005401
63321,False,47093005603
