,2015,2017,2019
DSL,11.467681047197344,23.143709041281205,24.010950970516493
Fiber,827.8794823877861,918.8904164891112,973.0056622462707
Fixed Terr,53.476438949656206,17.72817764953599,9.91681895575742
Cable Other,135.83685612241757,243.864934251722,374.867736154962
Cable DOCSIS 3.1,,987.1181648799719,957.311111838284
