,TractCode,MaxAdDown_2015,MaxAdDown_2017,MaxAdDown_2019
0,47165021002,216.7923855421687,963.5,950.0869565217391
1,47165020901,179.44133333333335,772.75,829.0736666666667
2,47165020300,220.14678899082568,865.5495495495495,887.6486486486486
3,47165020902,277.92472413793104,924.1681415929204,952.9203539823009
4,47165020800,344.7709923664122,921.820895522388,955.9477611940298
5,47165021203,239.1628,918.5820895522388,939.044776119403
6,47105060302,102.47447804878048,129.54784688995215,800.5840336134454
7,47105060202,99.27179487179487,140.50446464646464,903.2378640776699
8,47105060301,99.33384771573604,154.86294416243655,901.3219512195122
9,47179060400,104.32642487046633,383.6458333333333,884.8717948717949
10,47157001200,147.07388235294118,147.52941176470588,987.0
11,47157001300,135.05084745762713,130.3125,987.0
12,47157001400,138.35621052631578,155.175,933.9937297297296
13,47157001500,112.20870588235294,190.61818181818182,788.0156734693877
14,47157001700,122.736,162.14285714285714,999.2571428571429
15,47157001900,145.3548387096774,145.63636363636363,957.2727272727273
16,47157002000,139.60714285714286,150.0,987.0
17,47157002100,118.65,127.0875,842.65
18,47157002400,143.01828571428572,146.46428571428572,941.1457674418604
19,47157002500,120.75925925925925,146.82666666666665,916.0533333333333
20,47179061800,114.21210714285715,216.8590909090909,259.02477477477476
21,47179061300,108.99317406143345,371.33561643835617,856.931506849315
22,47179061100,101.92307692307692,405.6442307692308,942.8846153846154
23,47179060600,114.56106870229007,338.7325581395349,760.4731692307693
24,47179061200,96.53125,394.11392405063293,922.5534591194969
25,47179060900,101.05095541401273,397.49044585987264,934.796178343949
26,47179061500,123.79710144927536,140.7440758293839,203.74146341463415
27,47037010106,187.59609523809524,846.5,894.5
28,47179060100,102.36686390532545,400.0,989.7041420118343
29,47157002600,150.0,146.55,969.45
30,47157002700,110.48644444444444,611.375,844.6229019607842
31,47157002800,121.44096774193548,266.67123287671234,846.7027741935484
32,47157002900,138.5147441860465,220.9795918367347,953.3170731707318
33,47105060201,98.30869565217391,123.3859649122807,882.4430894308944
34,47105060501,95.72032835820896,158.20240963855423,743.4351464435147
35,47105060502,95.36559139784946,114.65263157894736,815.9904761904762
36,47037010103,228.11629268292683,915.3414634146342,907.7567567567568
37,47037010202,229.9281777777778,894.8846153846154,912.5294117647059
38,47037010104,244.74358974358975,987.0,962.3333333333334
39,47121960200,82.51523809523809,301.661035971223,516.844327176781
40,47035970200,28.18487394957983,99.75100401606426,161.1082621082621
41,47035970800,34.72854385964912,135.2913043478261,71.72881355932203
42,47035970400,86.42811501597444,260.86942675159236,774.1820809248555
43,47055920300,42.84509181141439,148.80276381909547,322.10287081339715
44,47121960100,9.69369230769231,243.85146820809243,306.2259036144578
45,47121960300,73.05656,315.8709152542373,562.6190476190476
46,47157003000,132.51063829787233,277.875,851.0714285714286
47,47135930100,9.531380753138075,17.45575221238938,273.6542372881356
48,47113000900,733.3406476190476,740.1904761904761,981.1428571428571
49,47065001100,965.1636363636363,972.8272727272728,990.7614678899082
50,47155080300,99.15463917525773,128.93814432989691,941.1030927835052
51,47155080500,100.0868888888889,127.38248847926268,893.1347826086957
52,47155080400,98.95819230769231,131.40813745704466,495.359133126935
53,47155081000,112.97532075471696,134.4639288888889,582.9270633397313
54,47055920400,77.3400303030303,287.06115107913666,714.5785440613026
55,47055920500,76.92990654205607,248.734375,611.5573770491803
56,47055920600,9.785454545454545,12.698529411764707,24.907063197026023
57,47055920200,61.301596837944665,199.9810996563574,462.9896907216495
58,47055920800,49.378434163701066,245.14402173913044,302.1666666666667
59,47055920700,18.224432432432433,121.70289855072464,28.068181818181817
60,47055920100,14.465293103448277,17.086533333333332,36.69305472636816
61,47029920400,11.078947368421053,18.153846153846153,5.6506849315068495
62,47157001100,150.0,132.7058823529412,944.6086956521739
63,47037013300,628.3457446808511,937.0932642487047,948.0621761658031
64,47037018102,223.1031746031746,977.3620689655172,977.8103448275862
65,47029920100,11.407407407407407,17.950617283950617,278.55555555555554
66,47029920502,115.45763313609467,136.59883720930233,276.2535211267606
67,47029920200,72.53592814371258,91.96038323353294,769.8865671641792
68,47029920600,106.18966210045662,139.91705069124424,843.7213114754098
69,47029920300,17.256871794871795,27.518939393939394,210.3678756476684
70,47029920501,92.28082539682539,119.0361216730038,701.945205479452
71,47065011324,1000.0,1000.0,1000.0
72,47019070400,105.17241379310344,400.0,940.0
73,47019070700,121.7741935483871,267.734375,555.6484375
74,47065001300,932.9059405940594,979.9108910891089,979.6938775510204
75,47031970801,100.0,793.8356164383562,983.1506849315068
76,47031980100,92.46153846153847,86.25,307.1794871794872
77,47065001400,1000.0,980.4705882352941,980.4901960784314
78,47065003000,945.1612903225806,967.4317419354838,951.5247741935483
79,47065003400,947.9705882352941,971.9855072463768,971.7971014492754
80,47065010412,923.5964912280701,999.0714285714286,999.0877192982456
81,47065010433,894.7878787878788,913.5609714285714,941.4492753623189
82,47065010502,960.4651162790698,999.3953488372093,999.3953488372093
83,47065010307,948.8645161290323,961.9358974358975,973.9805194805194
84,47065012200,970.3829999999999,979.1831752577319,979.1831752577319
85,47065011445,928.038961038961,925.3,901.3703703703703
86,47065010306,854.4166666666666,970.7054794520548,970.9246575342465
87,47065011446,983.0,980.2549019607843,979.86
88,47065011204,770.5826771653543,923.34,956.3951612903226
89,47065012300,1000.0,983.0015227272726,988.7045454545455
90,47065002400,989.4329599999999,994.2158171428571,994.2901028571428
91,47065002800,920.3125,978.1010638297872,999.2777777777778
92,47165021104,242.0,999.5806451612904,999.1612903225806
93,47165021205,212.88793103448276,904.3272727272728,928.5892857142857
